T,N,sigma,gamma,delta,r,m_event,m_bg,L,estimator,score_error_mean,score_error_std,boundary_precision_mean,boundary_precision_std,boundary_recall_mean,boundary_recall_std,boundary_f1_mean,boundary_f1_std,budget_used_mean,budget_used_std,n
2000,256,1.0,0.05,0.25,32,512,512,5,two_stage,0.003888217641049982,0.002783575951380102,0.0077559971641014995,0.0004048100979964194,0.9800000000000001,0.03999999999999999,0.015390163620444685,0.0008017774877463433,592896.0,5130.229780428943,5.0
2000,256,1.0,0.05,0.25,32,512,512,20,two_stage,0.007666303113458004,0.003362129836379267,0.0077559971641014995,0.0004048100979964194,0.9800000000000001,0.03999999999999999,0.015390163620444685,0.0008017774877463433,439296.0,5130.229780428943,5.0
2000,256,1.0,0.05,0.25,32,512,512,80,two_stage,0.03226754892082893,0.022555863197848212,0.0077559971641014995,0.0004048100979964194,0.9800000000000001,0.03999999999999999,0.015390163620444685,0.0008017774877463433,400896.0,5130.229780428943,5.0
